"采购任务","QA 完整保温杯采购"
"建议版本","selection-1789060277169"
"保存时间","2026-09-10T17:11:17.169Z"
"完成范围","完整结果"
"所选供应商","日常杯业"
"选择理由","'=QA 交期更快，费用条件完整"
"当时总成本","3760"
"采购数量","100"
"计量单位","件"
"规格条件","500ml，316 内胆，哑光白色，激光 LOGO，独立礼盒"
"含税到货每件上限","45"
"收货城市","杭州"
"最晚交货","2026-10-02"
"比较范围","温度器物；日常杯业；归山金属制品"
"供应商原话","按您要求的规格：500ml，316 内胆，哑光白色，激光 LOGO，独立礼盒；数量 100 件，起订 50 件，送达杭州。单价 ¥34，加工 ¥2/件，包装 ¥1/件，本批固定费用 ¥0。运费 ¥60；含税。交期：规格与样品确认完成后 6 天到货（示例测算前提：2026-09-11 确认）；报价有效至 2026-09-25。以上为供应商示例陈述，不表示已经下单。"
"规则版本","ADEN-SOURCING-2.0"
"说明","本地示例建议，不构成采购承诺"
