"旧路径","新路径","类型","迁移前SHA-256"
"文档/产品/README.md","文档/项目/AI面试教练/产品/README.md","document","cabe23809b17b61e2bfbfae58a5847080a41474bc8467310f5ca42925ecb132d"
"文档/产品/产品需求文档.md","文档/项目/AI面试教练/产品/产品需求文档.md","document","a6875e9b237b4945a13dcc6e20b46829815db35c0f4ba22f8219bf0b99cc6425"
"文档/产品/模拟面试流程规格.md","文档/项目/AI面试教练/产品/模拟面试流程规格.md","document","6b155e0d2fd7dfa6b69ace67e83425153d554d29f01633093b895ae7307e35ff"
"文档/产品/界面改版与视觉验收规格.md","文档/项目/AI面试教练/产品/界面改版与视觉验收规格.md","document","b9d36aadfe5baa9b703af56568e1fbc0ee4678345dbc72b732983b0dbe7680b7"
"文档/产品/语音面试页/语音面试三栏原型-v2.html","文档/项目/AI面试教练/产品/语音面试页/语音面试三栏原型-v2.html","document","3ed96df59a76eb150529cc0a352e7d60ee9cb19d44ddcd86ffe9527d1fd8162b"
"文档/产品/语音面试页/语音面试交互规格.md","文档/项目/AI面试教练/产品/语音面试页/语音面试交互规格.md","document","07bf0a4df6ab13df00e64d58c20fccc1adab67e17964d35f58691a8a53a95e9f"
"文档/产品/面试教练与题库调研.md","文档/项目/AI面试教练/产品/面试教练与题库调研.md","document","a7547d5df55b6f5ccfa004ba48484009e41c149c277f86bcdabb8f094a274d4c"
"文档/产品/项目/01-生产排程/产品需求文档.md","文档/项目/01-生产排程与车间调度/产品/产品需求文档.md","document","695a566ec3009a79b6a49b1bf9a0768dfe6152271cbcef6d361fa721541b6ab6"
"文档/产品/项目/02-Agent桌面执行/README.md","文档/项目/02-Aden桌面智能执行平台/README.md","document","2bb53a23132717ac9ea3cd5f62658c237fe7a7bfb2dea4a1226c6d1af58fcd28"
"文档/产品/项目/02-Agent桌面执行/产品需求文档.md","文档/项目/02-Aden桌面智能执行平台/产品/产品需求文档.md","document","0a88932b24f446f20a0fe01394b9fa267a1455a4741f59cede185c811b16a0dd"
"文档/产品/项目/02-Agent桌面执行/采购询价原型.md","文档/项目/02-Aden桌面智能执行平台/产品/采购询价原型.md","document","d0ce017feb3dc59752572bd92301aaf89c6edcfd694cc21d935b6c1a49116650"
