"日期","基线","车间","工作中心","工序","任务或批次","产品","人员","计划完成数量","合格数量","不良数量","计划人时","实际记录人时","计划机时","实际记录机时"
"2026-09-14","V01","机加工车间","加工一中心","精密加工","A10","A 精密壳体 × 100","张工","100","0","0","4.00","0.00","4.00","0.00"
"2026-09-14","V01","机加工车间","加工二中心","数控车削","B10","B 配套轴套 × 100","李工","100","0","0","2.00","0.00","2.00","0.00"
"2026-09-14","V01","热处理车间","热处理中心","同炉热处理","H1","A 精密壳体 × 100 / B 配套轴套 × 100","王工","200","0","0","1.00","0.00","3.00","0.00"
"2026-09-14","V01","质量车间","检验中心","成品检验","A30","A 精密壳体 × 100","赵工","100","0","0","1.00","0.00","0.00","0.00"
"2026-09-14","V01","装配车间","装配中心","组件装配","C10","C 控制组件 × 80","陈工","80","0","0","2.00","0.00","0.00","0.00"
"2026-09-14","V01","装配车间","焊接中心","焊接连接","C20","C 控制组件 × 80","刘工","80","0","0","2.25","0.00","2.25","0.00"
"2026-09-14","V01","机加工车间","加工一中心","支架加工","D10","D 安装支架 × 40","张工","40","0","0","1.25","0.00","1.25","0.00"
"2026-09-14","V01","质量车间","检验中心","支架检验","D20","D 安装支架 × 40","赵工","40","0","0","0.50","0.00","0.00","0.00"
"2026-09-14","V01","机加工车间","加工二中心","夹具加工","E10","E 定位夹具 × 60","李工","60","0","0","2.50","0.00","2.50","0.00"
"2026-09-14","V01","装配车间","装配中心","底座装配","F10","F 装配底座 × 30","周工","30","0","0","2.00","0.00","0.00","0.00"
"2026-09-14","V01","质量车间","检验中心","底座检验","F20","F 装配底座 × 30","赵工","30","0","0","0.50","0.00","0.00","0.00"
"2026-09-14","V01","流转示范车间","前加工中心","前序每小时放行20件","T10","T 流转件 × 60","孙工","60","0","0","3.00","0.00","0.00","0.00"
"2026-09-14","V01","流转示范车间","后加工中心","后序按20件转移批加工","T20","T 流转件 × 60","吴工","60","0","0","1.50","0.00","0.00","0.00"
