"序号","旧路径","新路径"
"1","docs/architecture/commercial-interview-agents-design.md","docs/architecture/商业语音面试智能体与接口设计.md"
"2","docs/architecture/projects/01-production-scheduling/database-design-verification.md","docs/architecture/projects/01-production-scheduling/数据库设计验证记录.md"
"3","docs/architecture/projects/01-production-scheduling/database-design.md","docs/architecture/projects/01-production-scheduling/数据库设计.md"
"4","docs/architecture/projects/01-production-scheduling/gantt-component-decision.md","docs/architecture/projects/01-production-scheduling/甘特图组件选型决策.md"
"5","docs/architecture/ruoyi-platform-convergence.md","docs/architecture/若依平台收敛设计.md"
"6","docs/architecture/ruoyi-qbank-voice-convergence-plan.md","docs/architecture/若依题库与语音面试收敛方案.md"
"7","docs/archive/architecture/code-landing-readiness-review.md","docs/archive/architecture/代码落地就绪审查.md"
"8","docs/archive/architecture/implementation-contract-pack.md","docs/archive/architecture/实施技术契约候选包.md"
"9","docs/archive/architecture/ruoyi-full-migration-baseline.md","docs/archive/architecture/若依完整代码落地与迁移基线.md"
"10","docs/archive/architecture/ruoyi-migration-plan.md","docs/archive/architecture/若依迁移计划.md"
"11","docs/archive/architecture/technical-architecture.md","docs/archive/architecture/技术架构.md"
"12","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/acceptance.md","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/验收记录.md"
"13","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/design.md","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/技术设计.md"
"14","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/feature-spec.md","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/功能规格.md"
"15","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/tasks.md","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/任务清单.md"
"16","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/verification-report.html","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/验证报告.html"
"17","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/verification.md","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login/验证记录.md"
"18","docs/archive/phases/architecture-review.md","docs/archive/phases/技术架构审查与边界深化.md"
"19","docs/archive/phases/dependency-matrix.md","docs/archive/phases/依赖覆盖与负责人矩阵.md"
"20","docs/archive/phases/development-goal-control.md","docs/archive/phases/完整编码目标控制.md"
"21","docs/archive/phases/dor-and-verification-plan.md","docs/archive/phases/就绪定义验证与验收计划.md"
"22","docs/archive/phases/file-structure-blueprint.md","docs/archive/phases/计划文件结构蓝图.md"
"23","docs/archive/phases/implementation-readiness.md","docs/archive/phases/代码落地完整性与开发就绪审查.md"
"24","docs/archive/phases/parallel-development-plan.md","docs/archive/phases/多窗口并行开发计划.md"
"25","docs/archive/phases/phase-01-independent-foundation.md","docs/archive/phases/第01期-独立工程契约与模块边界地基.md"
"26","docs/archive/phases/phase-02-provider-voice-evaluation-spike.md","docs/archive/phases/第02期-服务商语音结构化输出与标准集风险验证.md"
"27","docs/archive/phases/phase-03-identity-tenant-consent.md","docs/archive/phases/第03期-身份租户与同意基线.md"
"28","docs/archive/phases/phase-04-versioned-catalog.md","docs/archive/phases/第04期-版本化题库与内容发布.md"
"29","docs/archive/phases/phase-05-text-practice.md","docs/archive/phases/第05期-文本单题练习.md"
