"记录类型","人员或时段","车间","可用人时","已排人时","剩余人时","累计可用","累计已排","累计剩余","时段冲突"
"员工","张工","机加工车间","40.00","5.25","34.75","","","","否"
"员工","李工","机加工车间","40.00","4.50","35.50","","","","否"
"员工","王工","热处理车间","40.00","1.00","39.00","","","","否"
"员工","赵工","质量车间","40.00","5.00","35.00","","","","否"
"员工","陈工","装配车间","40.00","2.00","38.00","","","","否"
"员工","刘工","装配车间","40.00","2.25","37.75","","","","否"
"员工","周工","装配车间","40.00","2.00","38.00","","","","否"
"员工","孙工","流转示范车间","40.00","3.00","37.00","","","","否"
"员工","吴工","流转示范车间","40.00","1.50","38.50","","","","否"
"时段","2026-09-14","全部","72.00","23.50","48.50","72.00","23.50","48.50","0"
"时段","2026-09-15","全部","72.00","3.00","69.00","144.00","26.50","117.50","0"
"时段","2026-09-16","全部","72.00","0.00","72.00","216.00","26.50","189.50","0"
"时段","2026-09-17","全部","72.00","0.00","72.00","288.00","26.50","261.50","0"
"时段","2026-09-18","全部","72.00","0.00","72.00","360.00","26.50","333.50","0"
"去重汇总","9人","全部","360.00","26.50","333.50","","","",""
"未排需求","0道工序","全部","","0.00","","","","","未分配到个人"
