"序号","旧路径","新路径"
"1","docs","文档"
"2","docs/architecture","文档/架构"
"3","docs/architecture/commercial-interview-contracts","文档/架构/商业面试契约"
"4","docs/architecture/projects","文档/架构/项目"
"5","docs/architecture/projects/01-production-scheduling","文档/架构/项目/01-生产排程"
"6","docs/architecture/projects/02-agent-desktop-execution","文档/架构/项目/02-Agent桌面执行"
"7","docs/archive","文档/归档"
"8","docs/archive/architecture","文档/归档/架构"
"9","docs/archive/features","文档/归档/功能"
"10","docs/archive/features/FEAT-RUOYI-LOGIN-001-homepage-login","文档/归档/功能/FEAT-RUOYI-LOGIN-001-首页登录"
"11","docs/archive/phases","文档/归档/阶段"
"12","docs/archive/phases/window-prompts","文档/归档/阶段/窗口提示词"
"13","docs/archive/product","文档/归档/产品"
"14","docs/archive/projects","文档/归档/项目"
"15","docs/archive/projects/01-production-scheduling","文档/归档/项目/01-生产排程"
"16","docs/archive/projects/03-ai-fashion-styling-quotation","文档/归档/项目/03-AI服装搭配报价"
"17","docs/archive/prototypes","文档/归档/原型"
"18","docs/archive/prototypes/FEAT-INTERVIEW-001","文档/归档/原型/FEAT-INTERVIEW-001-面试教练原型"
"19","docs/archive/reference","文档/归档/参考"
"20","docs/archive/review","文档/归档/评审"
"21","docs/archive/setup","文档/归档/环境配置"
"22","docs/archive/specs","文档/归档/规范"
"23","docs/decisions","文档/决策"
"24","docs/development-records","文档/开发记录"
"25","docs/features","文档/功能"
"26","docs/features/FEAT-INTERVIEW-001-ai-interview-coach","文档/功能/FEAT-INTERVIEW-001-AI面试教练"
"27","docs/features/FEAT-INTERVIEW-002-commercial-pilot","文档/功能/FEAT-INTERVIEW-002-商业邀测"
"28","docs/features/FEAT-INTERVIEW-002-commercial-pilot/contracts","文档/功能/FEAT-INTERVIEW-002-商业邀测/契约"
"29","docs/features/FEAT-INTERVIEW-002-commercial-pilot/evidence","文档/功能/FEAT-INTERVIEW-002-商业邀测/证据"
"30","docs/features/FEAT-QBANK-001-public-catalog","文档/功能/FEAT-QBANK-001-公共题库"
"31","docs/features/FEAT-QBANK-001-public-catalog/evidence","文档/功能/FEAT-QBANK-001-公共题库/证据"
"32","docs/features/FEAT-RUOYI-PORTAL-LOGIN-001","文档/功能/FEAT-RUOYI-PORTAL-LOGIN-001-门户登录"
"33","docs/licenses","文档/许可"
"34","docs/product","文档/产品"
"35","docs/product/语音面试页","文档/产品/语音面试页"
"36","docs/product/projects","文档/产品/项目"
"37","docs/product/projects/01-production-scheduling","文档/产品/项目/01-生产排程"
"38","docs/product/projects/02-agent-desktop-execution","文档/产品/项目/02-Agent桌面执行"
"39","docs/product/projects/03-ai-fashion-styling-quotation","文档/产品/项目/03-AI服装搭配报价"
"40","docs/reference","文档/参考"
"41","docs/research","文档/调研"
"42","docs/research/projects","文档/调研/项目"
"43","docs/research/projects/01-production-scheduling","文档/调研/项目/01-生产排程"
"44","docs/research/projects/02-agent-desktop-execution","文档/调研/项目/02-Agent桌面执行"
"45","docs/research/projects/03-ai-fashion-styling-quotation","文档/调研/项目/03-AI服装搭配报价"
"46","docs/research/projects/03-ai-fashion-styling-quotation/exports","文档/调研/项目/03-AI服装搭配报价/导出"
"47","docs/specs","文档/规范"
